system   D            wsystem.c:583  maybe_parent_dir                 [   0.00062] Also searching C:\Users\justin\Documents\Visual Studio 2013\Projects\Leo\
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12148] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12150] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12153] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.12155] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.12157] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.12159] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.12161] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.12199] added dtor for object 00BA1C68, func 5A8A2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12315] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12318] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12433] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12436] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12438] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12440] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12441] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12443] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12445] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12447] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.12449] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.12451] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.12453] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.12455] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.12456] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.12473] added dtor for object 00BAEB40, func 5A8A2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12549] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12552] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:184  _al_register_destructor          [   0.12618] added dtor for object 00B96188, func 5A8A27A7
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12697] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12702] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12749] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12754] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12801] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12804] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:214  _al_unregister_destructor        [  15.41253] removed dtor for object 00B47928
d3d      I         d3d_disp.cpp:921  d3d_destroy_display              [  15.41259] destroying display 00B47B70 (current 00000000)
bitmap   D             bitmap.c:548  _al_convert_to_memory_bitmap     [  15.41262] converting display bitmap 00BAEB40 to memory bitmap
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [  15.41269] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [  15.41272] _al_d3d_sync_bitmap (video) ref count == 1
bitmap   D             bitmap.c:548  _al_convert_to_memory_bitmap     [  15.41361] converting display bitmap 00BA1C68 to memory bitmap
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [  15.41366] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [  15.41368] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [  15.41431] d3d_destroy_bitmap: Release video texture failed.
bitmap   D             bitmap.c:548  _al_convert_to_memory_bitmap     [  15.41448] converting display bitmap 00B97A70 to memory bitmap
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [  15.41452] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [  15.41454] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [  15.41518] d3d_destroy_bitmap: Release video texture failed.
d3d      D         d3d_disp.cpp:905  d3d_destroy_display_internals    [  15.41530] waiting for display 00B47B70's thread to end
d3d      W         d3d_disp.cpp:617  d3d_destroy_device               [  15.42396] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1527 d3d_display_thread_proc          [  15.43188] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [  15.43194] removed dtor for object 00B96188
dtor     D               dtor.c:114  _al_run_destructors              [  15.43224] calling dtor for object 00BAEB40, func 5A8A2595
dtor     D               dtor.c:214  _al_unregister_destructor        [  15.43228] removed dtor for object 00BAEB40
dtor     D               dtor.c:114  _al_run_destructors              [  15.43232] calling dtor for object 00BA1C68, func 5A8A2595
dtor     D               dtor.c:214  _al_unregister_destructor        [  15.43234] removed dtor for object 00BA1C68
dtor     D               dtor.c:114  _al_run_destructors              [  15.43238] calling dtor for object 00B97A70, func 5A8A2595
dtor     D               dtor.c:214  _al_unregister_destructor        [  15.43241] removed dtor for object 00B97A70
